Contract Address,User Address,Invested Value,Distributed tokens value,Status
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x756d55ec588c891b30b108006188963cfa223e02,0.4,140,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x65bf95e2e3a73a939f2f1edb5009446d4ff62841,0.32,112,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x50a354f9edaa453d59ffe1f88096b3b8225e7afe,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xc99b9d4bbb924e3dec23db4a65cadd250845e8db,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x68008407e377766bebddc2a646bf80814a009a3b,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x6f7c7a9597119372711e317a6f3caf945b3731d7,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd85be9d7be77150e8f0bc288c8b2b3f3711db42a,0.15,52.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xd0647e5147af0e6bdaaa9301d966d279cf3a07b2,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x8ef4428b6f255359ff3b0ccae4e54c576c660173,0.75,262.5,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x80f66ee67efee1e10b5fe77a69259c05628717cd,0.55,192.50000000000003,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xee6b71b0b9e8a2e7a30f3f966a41c8b414d5e2cc,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x0430948bff738a2dabca294a4e0fc55dec34feb8,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x538d87cdaec077f532fd01e91cb661ae06ee38ff,3.27975,1147.9125,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xce5e2d2b53e6290840c8574c2e4c1840730e1423,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0xe2b7060237e4d0328a2d0daf1cc1e8d52854aebf,0.79815,279.3525,0
0x621b2e211b4fA65a78b4ed5392934c43cdd049f2,0x042d320faf0a7dd4797db0f435c95f2912ffe1f3,0.79815,279.3525,0
